bin,n,p_mean,y_rate,abs_gap,p_min,p_max
1,23,0.05204385565389409,0.0,0.05204385565389409,0.0,0.1
2,16,0.14629002312628564,0.0,0.14629002312628564,0.1,0.2
3,8,0.2451976347896963,0.0,0.2451976347896963,0.2,0.30000000000000004
4,6,0.3502518890299715,0.0,0.3502518890299715,0.30000000000000004,0.4
5,10,0.4422655755869888,0.0,0.4422655755869888,0.4,0.5
6,17,0.5509812760329018,0.17647058823529413,0.37451068779760766,0.5,0.6000000000000001
7,9,0.6416793489066607,0.5555555555555556,0.0861237933511051,0.6000000000000001,0.7000000000000001
8,17,0.7538339828187783,0.47058823529411764,0.2832457475246607,0.7000000000000001,0.8
9,22,0.8491253783241212,0.7272727272727273,0.12185265105139387,0.8,0.9
10,25,0.9514647934191024,0.76,0.19146479341910239,0.9,1.0
