bin,n,p_mean,y_rate,abs_gap,p_min,p_max
1,63,0.021942732283041364,0.015873015873015872,0.006069716410025492,0.0,0.1
2,17,0.15215435549504225,0.0,0.15215435549504225,0.1,0.2
3,5,0.2527279582005293,0.2,0.05272795820052928,0.2,0.30000000000000004
4,6,0.3447697342635212,0.3333333333333333,0.011436400930187884,0.30000000000000004,0.4
5,13,0.44882320065314574,0.23076923076923078,0.21805396988391496,0.4,0.5
6,2,0.5715506066529177,0.5,0.07155060665291768,0.5,0.6000000000000001
7,5,0.643456640763364,0.4,0.24345664076336393,0.6000000000000001,0.7000000000000001
8,8,0.7493124417420243,0.375,0.37431244174202427,0.7000000000000001,0.8
9,12,0.8442014902619367,0.75,0.0942014902619367,0.8,0.9
10,22,0.9623168796281572,0.7272727272727273,0.23504415235542986,0.9,1.0
